year,comb_2020,comb_2050_ssp1,comb_2050_ssp2,comb_2050_ssp3,comb_2050_ssp5,comb_2080_ssp1,comb_2080_ssp2,comb_2080_ssp3,comb_2080_ssp5,fluvial_2020,fluvial_2050_ssp1,fluvial_2050_ssp2,fluvial_2050_ssp3,fluvial_2050_ssp5,fluvial_2080_ssp1,fluvial_2080_ssp2,fluvial_2080_ssp3,fluvial_2080_ssp5,pluvial_2020,pluvial_2050_ssp1,pluvial_2050_ssp2,pluvial_2050_ssp3,pluvial_2050_ssp5,pluvial_2080_ssp1,pluvial_2080_ssp2,pluvial_2080_ssp3,pluvial_2080_ssp5
1998,7.6326925638737055,7.809655539729227,7.984872170428281,7.984872170428281,8.166492066701053,7.969737179072217,8.181627058057117,8.42204057459768,8.771309605891473,7.118102857767516,7.25198931976347,7.41323518921077,7.41323518921077,7.572152598449447,7.398100197854706,7.587869704857668,7.764832680713193,8.048322711113322,3.0985984226281067,3.235977574936999,3.379759992819611,3.379759992819611,3.5532302783621947,3.3739388422980476,3.5596335439359144,3.774433998181597,4.0736411349899475
1999,7.669947927211711,7.847493018119388,8.022709648818442,8.022709648818442,8.20665800529984,8.007574657462378,8.221792996655903,8.462206513196467,8.811475544490259,7.155358221105521,7.289244683101475,7.450490552548775,7.450490552548775,7.609990076839608,7.435355561192711,7.625707183247829,7.802670159103354,8.086160189503483,3.1055838032539826,3.2441271856671876,3.388491718601956,3.388491718601956,3.5637083493010087,3.3826705680803926,3.5701116148747283,3.7860762992247237,4.085283436033074
2000,7.77763921186063,7.960423338237715,8.13855054419755,8.13855054419755,8.323663130783261,8.122251322737174,8.338798122139325,8.580957983836356,8.931973360286618,7.251407204711314,7.389368472072363,7.552942801728288,7.552942801728288,7.713024441071277,7.536643580267912,7.728741547479498,7.9057045233350225,8.189776668787308,3.142257051539831,3.283128894161661,3.4292397722528984,3.4292397722528984,3.6067848631605766,3.422836506679179,3.613188128734296,3.831481273292917,4.134181100414205
2001,7.927242780264805,8.109444791589734,8.288154112601724,8.288154112601724,8.473848814239593,8.271854891141349,8.488983805595657,8.731725782344844,9.083323273847261,7.401010773115489,7.538389925424381,7.702546370132463,7.702546370132463,7.863210124527608,7.686247148672087,7.878927230935829,8.05647232184351,8.341126582347952,3.2400523803020933,3.3803421078717673,3.527617216067317,3.527617216067317,3.7069086521314643,3.5212139504935975,3.713311917705184,3.93393352247243,4.240708154958812
2002,7.98661851558475,8.169984757013992,8.349858308130294,8.349858308130294,8.53613512482032,8.333559086669919,8.551270116176383,8.79401209292557,9.146191699480145,7.459222278331121,7.597765660744326,7.762504220504565,7.762504220504565,7.92316797489971,7.746204999044188,7.93888508130793,8.11643017221561,8.401084432720053,3.2714865931185346,3.416433241105459,3.5660368095096344,3.5660368095096344,3.745910360625938,3.5590514288837585,3.7523136261996575,3.9729352309669035,4.282038323661911
2003,8.000589276836502,8.183955518265744,8.363829069382046,8.363829069382046,8.550688001124227,8.34752984792167,8.56582299248029,8.809729199333791,9.161908805888366,7.470864579374248,7.609407961787452,7.774146521547691,7.774146521547691,7.934810275942836,7.757847300087315,7.950527382351057,8.128072473258737,8.41272673376318,3.2819646640573485,3.426911312044273,3.5765148804484483,3.5765148804484483,3.756970546616908,3.5695294998225724,3.7633738121906277,3.9851596470621864,4.294262739757193
2004,8.185701863422212,8.37139656506008,8.557673381750101,8.557673381750101,8.747442888753064,8.54079204523757,8.762577880109127,9.014051582640661,9.37496291497758,7.650156015438395,7.791027858060225,7.961587568342027,7.961587568342027,8.127490358206579,7.944706231829494,8.1432074646148,8.325991590991887,8.620541807382986,3.3989697895407693,3.5433343224755376,3.6993411564534324,3.6993411564534324,3.8821252828305175,3.6923557758275565,3.888528548404237,4.115553418745202,4.432806122170398
2005,8.326573706044043,8.516343213047003,8.704366374893494,8.704366374893494,8.898792802313707,8.687485038380963,8.91567413882624,9.1694763015664,9.53795512958135,7.779385557017099,7.922003744795398,8.093727685181513,8.093727685181513,8.263705280411159,8.07684634866898,8.281168731975848,8.46628131856156,8.766652685474224,3.4624203302258083,3.61260601368214,3.7703591928165037,3.7703591928165037,3.957218124558683,3.762209582086315,3.9636213901324027,4.1935568357341495,4.515466459576595
2006,8.472102469083124,8.660125630929615,8.853387828245513,8.853387828245513,9.053053291135132,8.836506491732981,9.071680972804135,9.326647365648608,9.69803676892434,7.922585859847554,8.062293472365072,8.238674333168436,8.238674333168436,8.413890963867491,8.221792996655903,8.433100760588648,8.619377577278673,8.922659519452118,3.5672010396139466,3.7202972983310594,3.88328951293483,3.88328951293483,4.075387480146417,3.8751399022046416,4.081790745720136,4.313472536478352,4.640621195790205
2007,8.541956275341883,8.731725782344842,8.929062785025835,8.929062785025835,9.12931036296761,8.911017218408992,9.147938044636613,9.402904437481086,9.77545807086113,7.990111205897687,8.130983048519518,8.311438714687977,8.311438714687977,8.486655345387032,8.29339314807113,8.505865142108188,8.69272407385037,8.997170246128128,3.613188128734296,3.771523422920816,3.9345156375245867,3.9345156375245867,4.128359949892642,3.926366026794398,4.134763215466362,4.367027121276734,4.6965042407972115
2008,8.652558135251585,8.8429097573067,9.042575220196317,9.042575220196317,9.243404913190249,9.024529653579474,9.262032594859251,9.519909562964507,9.893627426448864,8.093145570129357,8.2351816428555,8.417383654180428,8.417383654180428,8.593182399931639,8.399338087563581,8.612392196652795,8.80041535849929,9.10602576088136,3.6911915457232434,3.8501089549619194,4.017175974930785,4.017175974930785,4.21102028729884,4.0084442491484396,4.217423552872559,4.454344379100182,4.786149958829285
2009,8.733472127501313,8.929644900077992,9.129892478019766,9.129892478019766,9.332468516170167,9.111846911402923,9.35109619783917,9.608973165944425,9.983273144480938,8.169984757013992,8.316095635105228,8.497715531378,8.497715531378,8.674096392181367,8.479669964761154,8.693306188902524,8.881329350749018,9.186939753131089,3.738924980000062,3.9019171946038322,4.070730559729166,4.070730559729166,4.265739102201534,4.061416718894665,4.2721423677752535,4.510227424107189,4.844943579097074
2010,8.769563260735005,8.965736033311684,9.165983611253457,9.165983611253457,9.369141764456016,9.147938044636614,9.387769446125018,9.645646414230274,10.019946392766787,8.203747430039058,8.350440423182452,8.532060319455224,8.532060319455224,8.709023295310747,8.514014752838378,8.728233092031903,8.916838368930554,9.222448771312624,3.768030732607878,3.930440832159492,4.099254197284826,4.099254197284826,4.294262739757194,4.089940356450325,4.300666005330913,4.538751061662849,4.873467216652734
2011,8.798086898290665,8.9948417859195,9.19567147891343,9.19567147891343,9.398829632115989,9.177625912296588,9.417457313784992,9.67649851199456,10.050798490531072,8.230524722438249,8.377217715581642,8.558837611854415,8.558837611854415,8.736382702762095,8.540792045237568,8.755592499483251,8.944197776381902,9.249808178763972,3.7907332196419743,3.9531433191935883,4.123703029475392,4.123703029475392,4.31871157194776,4.1143891886408905,4.325114837521479,4.564946239009883,4.899662393999768
2012,8.820789385324762,9.018126388005753,9.218956080999684,9.218956080999684,9.422114234202242,9.20091051438284,9.440741915871245,9.699783114080812,10.074083092617325,8.252645094420188,8.39992020261574,8.581540098888512,8.581540098888512,8.759085189796192,8.563494532271665,8.778294986517349,8.966900263415999,9.27251066579807,3.807614556154508,3.970024655706122,4.140584365987925,4.140584365987925,4.335592908460293,4.131270525153424,4.341996174034012,4.581827575522416,4.916543730512301
2013,8.87317974001883,9.070516742699821,9.272510665798066,9.272510665798066,9.475668819000624,9.254465099181223,9.494296500669627,9.753337698879195,10.129384022572175,8.303871219009945,8.451146327205496,8.63393045358258,8.63393045358258,8.81147554449026,8.615884886965734,8.830685341211417,9.019290618110068,9.325483135544294,3.8524374151705447,4.014847514722159,4.186571455108274,4.186571455108274,4.382162112632798,4.176675499221616,4.3885653782065175,4.6283967796949215,4.964277164789119
2014,8.883075695905488,9.080994813638634,9.282988736736879,9.282988736736879,9.486146889939437,9.264943170120036,9.505356686660598,9.764397884870165,10.140444208563146,8.313767174896602,8.461624398144309,8.644408524521394,8.644408524521394,8.821953615429074,8.626362957904547,8.841745527202388,9.030350804101039,9.336543321535265,3.8588406807442643,4.021832895348035,4.19355683573415,4.19355683573415,4.389147493258674,4.183660879847492,4.395550758832393,4.635382160320797,4.972426775519308
2015,8.941869316173277,9.142699009167204,9.345275047317605,9.345275047317605,9.549015315572321,9.327229480700762,9.568225112293481,9.827266310503049,10.203894749248185,8.370814450007922,8.521000133464254,8.704366374893494,8.704366374893494,8.883075695905488,8.686320808276648,8.902867607678802,9.091472884577453,9.397665402011679,3.8949318139779563,4.056759798477414,4.231976429176468,4.231976429176468,4.4293134318574605,4.22208047328981,4.43571669743118,4.676712329023896,5.016667519483188
